mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_neighbors,param_clf__p,param_clf__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.003771209716796875,0.001004222843148531,0.01255941390991211,0.003389522360559279,3,1,uniform,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3053435114503817,0.4,0.2903225806451613,0.3404255319148936,0.35658914728682173,0.33853615425945166,0.03881645232552862,15,0.6177024482109228,0.5965583173996176,0.6360294117647058,0.6022727272727273,0.6053639846743295,0.6115853778644607,0.014044024233985592
0.00391387939453125,0.0016698645223540314,0.0038290023803710938,0.0012452139919793047,3,1,distance,"{'clf__n_neighbors': 3, 'clf__p': 1, 'clf__weights': 'distance'}",0.34394904458598724,0.3492063492063492,0.2773722627737226,0.3443708609271523,0.2714285714285714,0.3172654177843565,0.03509821758410758,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00402979850769043,0.0009480276475983599,0.015409421920776368,0.003337788630128941,3,2,uniform,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3181818181818182,0.4,0.2903225806451613,0.3404255319148936,0.35658914728682173,0.341103815605739,0.0369138670211205,12,0.6177024482109228,0.5965583173996176,0.6360294117647058,0.6022727272727273,0.6053639846743295,0.6115853778644607,0.014044024233985592
0.0050049304962158205,0.0010083285002760374,0.005089807510375977,0.0012673661097288755,3,2,distance,"{'clf__n_neighbors': 3, 'clf__p': 2, 'clf__weights': 'distance'}",0.35443037974683544,0.3492063492063492,0.2773722627737226,0.3443708609271523,0.2714285714285714,0.3193616848165262,0.036896263141244494,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0036992549896240233,0.0007514312367020789,0.015144824981689453,0.004206438938310438,5,1,uniform,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform'}",0.288,0.42016806722689076,0.2644628099173554,0.35555555555555557,0.39344262295081966,0.3443258111301243,0.059734934728875,9,0.5139442231075697,0.5227722772277228,0.5377176015473888,0.4898785425101215,0.536,0.5200625288785605,0.017444506363904752
0.0053214550018310545,0.0013005471065191876,0.0074809551239013675,0.003431320884878397,5,1,distance,"{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}",0.36,0.36507936507936506,0.2857142857142857,0.3472222222222222,0.302158273381295,0.33203482927943356,0.032071327919396805,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004118728637695313,0.0014793324817709526,0.014466285705566406,0.003916896866752184,5,2,uniform,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform'}",0.30158730158730157,0.42016806722689076,0.2644628099173554,0.35555555555555557,0.39344262295081966,0.34704327144758457,0.057373116319240386,6,0.5139442231075697,0.5227722772277228,0.5377176015473888,0.49292929292929294,0.536,0.5206726789623948,0.01640019546082341
0.00845351219177246,0.005044513575092872,0.006662321090698242,0.0030346906198990167,5,2,distance,"{'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance'}",0.3708609271523179,0.36507936507936506,0.2857142857142857,0.3472222222222222,0.302158273381295,0.33420701470989717,0.034189687121850595,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004909992218017578,0.0014631239846635339,0.018511867523193358,0.005876994629324145,7,1,uniform,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'uniform'}",0.2833333333333333,0.4482758620689655,0.2601626016260163,0.39097744360902253,0.358974358974359,0.34834471992233934,0.06916550860002753,3,0.5020080321285141,0.42643923240938164,0.4672131147540984,0.4583333333333333,0.4641350210970464,0.46362574674447476,0.024071455664388113
0.0036802291870117188,0.0013560057891594131,0.0054775714874267575,0.002281683632752076,7,1,distance,"{'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}",0.3356643356643357,0.36666666666666664,0.30656934306569344,0.352112676056338,0.29850746268656714,0.3319040968279202,0.026031316726189253,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.003566741943359375,0.001127059594022829,0.014216232299804687,0.0034816246915004142,7,2,uniform,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'uniform'}",0.2975206611570248,0.4482758620689655,0.2601626016260163,0.39097744360902253,0.358974358974359,0.35118218548707764,0.06668685988783996,1,0.5020080321285141,0.4297872340425532,0.4703476482617587,0.4583333333333333,0.4641350210970464,0.46492225377264107,0.023165893381858607
0.003678560256958008,0.0014153776168305966,0.0053460121154785155,0.0019586333942530716,7,2,distance,"{'clf__n_neighbors': 7, 'clf__p': 2, 'clf__weights': 'distance'}",0.3472222222222222,0.36666666666666664,0.30656934306569344,0.352112676056338,0.29850746268656714,0.3342156741394975,0.026765410042245124,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.00476994514465332,0.001964937683591669,0.020376825332641603,0.005241811297048645,9,1,uniform,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'uniform'}",0.2857142857142857,0.43859649122807015,0.24793388429752067,0.37209302325581395,0.3508771929824561,0.33904297549562934,0.06676536902901894,14,0.4577319587628866,0.4104803493449782,0.45491803278688525,0.46443514644351463,0.4188034188034188,0.44127378122833666,0.02212075352082191
0.007158660888671875,0.004221078051879216,0.0042667388916015625,0.0009584299366610434,9,1,distance,"{'clf__n_neighbors': 9, 'clf__p': 1, 'clf__weights': 'distance'}",0.3262411347517731,0.36666666666666664,0.2962962962962963,0.34532374100719426,0.3076923076923077,0.3284440292828476,0.02535688508446132,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.003219890594482422,0.0008286606058504227,0.014496231079101562,0.003993615791317619,9,2,uniform,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'uniform'}",0.30357142857142855,0.43859649122807015,0.24793388429752067,0.37209302325581395,0.3508771929824561,0.3426144040670579,0.0642473010874423,11,0.4577319587628866,0.4139433551198257,0.45807770961145194,0.46443514644351463,0.42217484008528783,0.44327260200459334,0.020887497586235315
0.0032061100006103515,0.0008380722227403179,0.005736064910888672,0.001335246630542111,9,2,distance,"{'clf__n_neighbors': 9, 'clf__p': 2, 'clf__weights': 'distance'}",0.3380281690140845,0.36666666666666664,0.2962962962962963,0.34532374100719426,0.3076923076923077,0.3308014361353099,0.02558935036559365,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0034843921661376954,0.0012005059403650319,0.015740108489990235,0.0026431899502898904,11,1,uniform,"{'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3018867924528302,0.43636363636363634,0.24561403508771928,0.3609022556390977,0.3793103448275862,0.34481541287417394,0.06559503620046442,8,0.4430379746835443,0.38478747203579416,0.42358078602620086,0.45081967213114754,0.4288747346072187,0.4262201278967811,0.022885172409547037
0.0058001518249511715,0.004929371560268531,0.0044499397277832035,0.0013905658486480176,11,1,distance,"{'clf__n_neighbors': 11, 'clf__p': 1, 'clf__weights': 'distance'}",0.34285714285714286,0.4,0.29850746268656714,0.31654676258992803,0.27692307692307694,0.326966889011343,0.04244817211062157,24,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0028961658477783202,0.0007467590309323327,0.013970899581909179,0.002619411355817061,11,2,uniform,"{'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'uniform'}",0.3177570093457944,0.43636363636363634,0.24561403508771928,0.3609022556390977,0.3793103448275862,0.3479894562527668,0.06380041044394628,4,0.4430379746835443,0.38839285714285715,0.42701525054466233,0.45081967213114754,0.4322033898305085,0.428293828866544,0.021604677385256413
0.004497814178466797,0.0007448180292676221,0.004839324951171875,0.0011671788842716451,11,2,distance,"{'clf__n_neighbors': 11, 'clf__p': 2, 'clf__weights': 'distance'}",0.3546099290780142,0.4,0.29850746268656714,0.31654676258992803,0.27692307692307694,0.32931744625551723,0.04357349762807132,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0035153865814208985,0.0011363920848364462,0.01726698875427246,0.008655103588364367,15,1,uniform,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'uniform'}",0.3119266055045872,0.4,0.25225225225225223,0.3816793893129771,0.39316239316239315,0.34780412804644195,0.057178094023370034,5,0.4393305439330544,0.378021978021978,0.40176600441501104,0.430062630480167,0.4164859002169197,0.4131334114134261,0.021661754722588522
0.0032083988189697266,0.0007499039720551086,0.0059130191802978516,0.002651628103530572,15,1,distance,"{'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'distance'}",0.34074074074074073,0.40336134453781514,0.31343283582089554,0.35036496350364965,0.28125,0.3378299769206202,0.040636123975130764,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004153108596801758,0.0018615748220273739,0.014601182937622071,0.0033883951007424792,15,2,uniform,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'uniform'}",0.32727272727272727,0.4,0.25225225225225223,0.3816793893129771,0.39316239316239315,0.35087335240006995,0.055558821593068006,2,0.4384133611691023,0.3815789473684211,0.4052863436123348,0.43333333333333335,0.4199134199134199,0.41570508107932225,0.020578019683000773
0.0036638259887695314,0.0011254182114492704,0.004646587371826172,0.000821189032332815,15,2,distance,"{'clf__n_neighbors': 15, 'clf__p': 2, 'clf__weights': 'distance'}",0.35294117647058826,0.40336134453781514,0.31343283582089554,0.35036496350364965,0.28125,0.3402700640665897,0.04110128596049955,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.004813146591186523,0.0008857485471555835,0.015729141235351563,0.00323731264747476,21,1,uniform,"{'clf__n_neighbors': 21, 'clf__p': 1, 'clf__weights': 'uniform'}",0.25,0.4,0.23853211009174313,0.35658914728682173,0.3652173913043478,0.32206772973658254,0.06526717050758883,26,0.4155844155844156,0.32558139534883723,0.39198218262806234,0.42348008385744235,0.3574660633484163,0.38281882815343476,0.03668725908996478
0.005006122589111328,0.0014545815195018581,0.005660057067871094,0.0011112192100219513,21,1,distance,"{'clf__n_neighbors': 21, 'clf__p': 1, 'clf__weights': 'distance'}",0.3609022556390977,0.3793103448275862,0.3283582089552239,0.34532374100719426,0.304,0.3435789100858204,0.025992452871154353,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.005157566070556641,0.001957210552003953,0.014138889312744141,0.000729143272521592,21,2,uniform,"{'clf__n_neighbors': 21, 'clf__p': 2, 'clf__weights': 'uniform'}",0.26666666666666666,0.4,0.23853211009174313,0.35658914728682173,0.3652173913043478,0.3254010630699159,0.06183685356592702,25,0.4155844155844156,0.3294663573085847,0.3946784922394678,0.42348008385744235,0.3611738148984199,0.38487663277766604,0.03510382603665957
0.004509353637695312,0.00130580623931535,0.007044792175292969,0.001559355328784071,21,2,distance,"{'clf__n_neighbors': 21, 'clf__p': 2, 'clf__weights': 'distance'}",0.373134328358209,0.3793103448275862,0.3283582089552239,0.34532374100719426,0.304,0.3460253246296427,0.02800549145718519,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
